From,To,Count,Area_km2,From_Label,To_Label,Period
15,16,1922,1.7298,Water,Permanent ice and snow,2001-2002
15,20,50480,45.432,Water,Forest,2001-2002
16,5,96943,87.2487,Permanent ice and snow,Shrubland,2001-2002
16,7,3258,2.9322,Permanent ice and snow,Grassland,2001-2002
16,8,4121,3.7089,Permanent ice and snow,Cropland,2001-2002
16,9,103,0.0927,Permanent ice and snow,Wetland,2001-2002
16,11,587,0.5283,Permanent ice and snow,Lichens and Mosses,2001-2002
16,12,110351,99.3159,Permanent ice and snow,Bareland,2001-2002
16,13,9769,8.7921,Permanent ice and snow,Built-up,2001-2002
16,15,144442,129.9978,Permanent ice and snow,Water,2001-2002
16,16,4510377,4059.3393,Permanent ice and snow,Permanent ice and snow,2001-2002
16,20,41167,37.0503,Permanent ice and snow,Forest,2001-2002
20,5,3372078,3034.8702,Forest,Shrubland,2001-2002
20,7,1099477,989.5293,Forest,Grassland,2001-2002
20,8,7684875,6916.3875,Forest,Cropland,2001-2002
20,9,470521,423.4689,Forest,Wetland,2001-2002
20,11,10112,9.1008,Forest,Lichens and Mosses,2001-2002
20,12,70224,63.2016,Forest,Bareland,2001-2002
20,13,631594,568.4346,Forest,Built-up,2001-2002
20,15,53705,48.3345,Forest,Water,2001-2002
20,16,2106,1.8954,Forest,Permanent ice and snow,2001-2002
20,20,1240288012,1116259.2108,Forest,Forest,2001-2002
5,5,507806340,457025.706,Shrubland,Shrubland,2002-2003
5,7,1219540,1097.586,Shrubland,Grassland,2002-2003
5,8,8321525,7489.3725,Shrubland,Cropland,2002-2003
5,9,456254,410.6286,Shrubland,Wetland,2002-2003
5,11,37528,33.7752,Shrubland,Lichens and Mosses,2002-2003
5,12,359984,323.9856,Shrubland,Bareland,2002-2003
5,13,923305,830.9745,Shrubland,Built-up,2002-2003
5,15,41203,37.0827,Shrubland,Water,2002-2003
5,16,20212,18.1908,Shrubland,Permanent ice and snow,2002-2003
