From,To,Count,Area_km2,Period
8,15,5,0.44999999999999996,2006-2007
8,20,40545,3649.0499999999997,2006-2007
9,5,3,0.27,2006-2007
9,8,55,4.95,2006-2007
9,9,162232,14600.88,2006-2007
9,13,72,6.4799999999999995,2006-2007
9,20,101,9.09,2006-2007
11,11,2078,187.01999999999998,2006-2007
12,5,7600,684.0,2006-2007
12,7,14984,1348.56,2006-2007
12,8,5800,522.0,2006-2007
12,12,14783029,1330472.6099999999,2006-2007
12,13,3664,329.76,2006-2007
12,20,147,13.229999999999999,2006-2007
13,13,783592,70523.28,2006-2007
15,5,63,5.67,2006-2007
15,7,136,12.24,2006-2007
15,8,510,45.9,2006-2007
15,9,252,22.68,2006-2007
15,12,415,37.35,2006-2007
15,13,209,18.81,2006-2007
15,15,39424167,3548175.03,2006-2007
15,20,237,21.33,2006-2007
16,16,22194,1997.46,2006-2007
20,5,1776,159.84,2006-2007
20,7,1071,96.39,2006-2007
20,8,4293,386.37,2006-2007
20,9,199,17.91,2006-2007
20,12,194,17.46,2006-2007
20,13,909,81.81,2006-2007
20,15,3,0.27,2006-2007
20,20,10994896,989540.64,2006-2007
5,5,2414507,217305.63,2007-2008
5,7,103,9.27,2007-2008
5,8,18513,1666.1699999999998,2007-2008
5,12,4669,420.21,2007-2008
5,13,368,33.12,2007-2008
5,20,6676,600.84,2007-2008
7,5,11,0.99,2007-2008
7,7,4734905,426141.45,2007-2008
7,8,2573,231.57,2007-2008
7,12,734,66.06,2007-2008
7,13,752,67.67999999999999,2007-2008
7,20,5956,536.04,2007-2008
8,5,942,84.78,2007-2008
8,7,1316,118.44,2007-2008
8,8,22234299,2001086.91,2007-2008
8,9,17,1.53,2007-2008
8,12,305,27.45,2007-2008
8,13,11352,1021.68,2007-2008
8,15,13,1.17,2007-2008
8,20,90858,8177.219999999999,2007-2008
9,5,1,0.09,2007-2008
9,7,1,0.09,2007-2008
9,8,42,3.78,2007-2008
9,9,162503,14625.269999999999,2007-2008
9,13,46,4.14,2007-2008
9,15,17,1.53,2007-2008
9,20,105,9.45,2007-2008
11,11,2078,187.01999999999998,2007-2008
12,5,6665,599.85,2007-2008
12,7,9381,844.29,2007-2008
12,8,4004,360.36,2007-2008
12,9,4,0.36,2007-2008
12,12,14762217,1328599.53,2007-2008
12,13,2775,249.75,2007-2008
12,15,3,0.27,2007-2008
12,20,348,31.32,2007-2008
13,13,802082,72187.37999999999,2007-2008
15,5,242,21.779999999999998,2007-2008
15,7,237,21.33,2007-2008
15,8,619,55.71,2007-2008
15,9,422,37.98,2007-2008
15,12,233,20.97,2007-2008
15,13,183,16.47,2007-2008
15,15,39421700,3547953.0,2007-2008
15,20,539,48.51,2007-2008
16,16,22194,1997.46,2007-2008
20,5,1024,92.16,2007-2008
20,7,1382,124.38,2007-2008
20,8,4799,431.90999999999997,2007-2008
20,9,182,16.38,2007-2008
20,12,90,8.1,2007-2008
20,13,922,82.98,2007-2008
20,15,2,0.18,2007-2008
20,20,11032354,992911.86,2007-2008
5,5,2385957,214736.13,2008-2009
5,7,122,10.98,2008-2009
5,8,32187,2896.83,2008-2009
5,12,2069,186.20999999999998,2008-2009
5,13,372,33.48,2008-2009
5,15,19,1.71,2008-2009
5,20,2666,239.94,2008-2009
7,5,11,0.99,2008-2009
7,7,4728284,425545.56,2008-2009
7,8,15086,1357.74,2008-2009
7,9,2,0.18,2008-2009
7,12,688,61.919999999999995,2008-2009
7,13,429,38.61,2008-2009
7,15,3,0.27,2008-2009
7,20,2822,253.98,2008-2009
8,5,312,28.08,2008-2009
